customer_age,annual_income,spending_score,purchase_frequency,website_visits,time_on_app,discount_usage,days_since_last_purchase,loyalty_points,social_media_engagement,preferred_payment_mode,city_tier
21,64643.09,64,4,57,27.55,88.36,36,2588,4.94,Credit Card,Tier1
46,90450.34,1,4,66,63.69,43.37,33,5197,5.47,Cash,Tier1
39,73742.73,89,12,23,45.02,57.18,110,5071,1.6,Cash,Tier1
42,48555.98,26,9,40,45.83,86.54,49,3173,3.16,UPI,Tier3
30,58828.95,11,9,30,,46.83,109,2244,3.14,Cash,Tier2
35,34136.94,87,11,22,60.27,60.2,68,2631,8.56,Debit Card,Tier1
50,62620.94,2,9,73,51.09,84.86,113,5048,4.92,Debit Card,Tier1
33,89466.21,83,15,41,33.72,79.11,114,7560,1.35,Debit Card,Tier1
62,80076.38,93,7,52,16.19,8.78,46,7676,3.41,Credit Card,Tier1
59,95844.21,40,5,47,39.79,7.78,115,1168,5.06,Credit Card,Tier3
61,233346.08,4,40,37,57.86,41.57,95,5670,2.53,Debit Card,Tier1
19,94614.2,80,7,64,59.48,85.26,119,228,1.61,Credit Card,Tier3
52,60747.31,37,5,24,34.14,92.25,55,3800,2.44,Credit Card,Tier2
59,97374.87,61,10,74,27.04,94.87,60,303,3.13,UPI,Tier3
51,64519.15,91,9,26,62.25,98.88,102,3094,5.43,Credit Card,Tier1
47,80559.09,5,7,68,41.09,50.55,74,8588,7.9,Cash,Tier3
30,97452.47,15,11,52,55.27,,75,9629,3.11,Debit Card,Tier3
30,60744.59,87,9,37,50.53,72.71,17,3953,8.37,Credit Card,Tier1
35,69804.56,67,11,24,33.79,44.48,81,4076,8.52,Cash,Tier3
49,93355.0,82,8,67,50.35,92.87,76,4345,7.01,Cash,Tier2
49,62073.93,26,13,37,75.46,40.68,2,8046,5.7,Cash,Tier2
52,35940.37,6,9,46,34.0,29.31,5,5054,2.23,Cash,Tier3
56,112146.16,44,13,68,29.4,68.66,11,9756,5.98,Cash,Tier2
63,54665.18,58,5,11,43.88,12.43,34,3243,4.9,Debit Card,Tier3
69,68492.63,81,3,78,42.63,94.3,91,8068,2.33,Cash,Tier1
46,90432.15,46,5,69,37.83,76.88,70,7373,2.03,Credit Card,Tier1
66,51613.13,42,6,18,52.88,56.38,23,3008,3.36,Debit Card,Tier3
46,42826.91,48,6,79,54.37,9.48,104,3707,7.57,Credit Card,Tier2
61,70582.22,27,4,14,46.57,,79,3160,6.58,Credit Card,Tier1
33,25552.32,20,4,69,56.5,50.38,61,9127,2.38,Credit Card,Tier2
61,58666.07,70,3,77,66.07,50.06,91,9169,5.04,Credit Card,Tier3
64,70390.85,35,9,27,41.04,47.23,91,1565,3.46,Debit Card,Tier1
27,,76,11,17,22.27,33.47,17,9425,9.12,Debit Card,Tier3
47,31044.08,48,4,76,45.09,71.17,71,9412,1.6,Debit Card,Tier3
42,100071.92,67,9,14,29.42,94.06,70,2023,3.71,UPI,Tier3
56,67277.84,68,7,18,65.01,54.37,99,256,3.14,UPI,Tier1
37,96485.35,52,8,41,51.41,82.77,36,8711,4.62,Cash,Tier3
22,59279.2,68,12,74,40.41,61.72,38,7954,1.85,Credit Card,Tier3
18,45639.74,4,13,8,,3.09,81,7605,3.1,Credit Card,Tier3
47,70921.98,39,8,16,52.87,14.01,92,1218,9.21,Cash,Tier2
66,60252.68,21,5,13,66.79,87.88,114,6403,2.72,Credit Card,Tier2
20,39089.25,66,3,17,43.05,47.59,60,8958,3.62,UPI,Tier2
62,97335.25,16,6,47,23.2,77.53,65,9592,4.57,Credit Card,Tier3
31,51310.06,7,7,67,35.78,83.51,85,1924,3.29,Cash,Tier2
47,24514.14,83,9,38,32.78,54.34,100,1110,6.72,Debit Card,Tier2
67,94219.65,97,6,31,55.25,0.2,31,1532,9.75,Debit Card,Tier3
21,53905.44,9,6,27,40.31,69.63,22,4585,5.79,Cash,Tier3
35,51627.87,17,9,17,42.27,96.3,40,4973,8.42,Cash,Tier1
54,26161.47,91,9,27,28.37,53.73,41,8692,1.74,UPI,Tier1
42,103300.71,97,14,71,75.26,83.58,74,7418,4.77,Debit Card,Tier1
65,36631.43,12,7,37,49.14,33.26,92,6783,3.4,Credit Card,Tier3
18,66285.89,57,11,44,35.49,,27,7399,3.81,Cash,Tier2
63,85077.65,45,8,5,41.82,27.85,77,228,8.62,Debit Card,Tier1
32,74277.77,11,7,38,23.79,43.71,65,6376,5.81,UPI,Tier3
26,63687.61,13,8,48,35.59,82.49,52,2095,4.3,Credit Card,Tier2
32,27563.35,31,7,27,43.44,62.54,107,483,3.88,UPI,Tier2
66,47186.05,77,7,49,48.88,19.15,86,9617,1.59,Debit Card,Tier2
41,69131.61,26,7,28,58.36,,87,6953,9.04,Cash,Tier2
21,,63,7,6,51.02,78.65,53,8925,4.12,Credit Card,Tier3
29,,31,12,5,44.15,66.46,115,5159,6.47,Credit Card,Tier3
54,79998.35,22,7,15,42.87,18.59,34,5953,6.25,Credit Card,Tier3
54,86175.06,6,10,37,42.47,62.61,75,1262,5.11,Credit Card,Tier1
60,38024.05,20,6,59,40.1,92.16,22,9780,8.23,Debit Card,Tier3
23,453304.84,85,45,18,49.75,56.64,49,7967,3.8,Credit Card,Tier3
56,81884.55,10,11,51,47.52,8.63,5,1869,5.66,Debit Card,Tier3
63,64962.29,83,8,12,27.39,73.5,10,7551,3.36,UPI,Tier1
41,88969.8,35,7,18,38.87,93.53,73,937,8.58,Credit Card,Tier2
28,117038.97,26,9,16,62.32,55.76,57,1861,6.58,UPI,Tier3
30,33348.16,71,7,38,53.55,56.47,81,6668,4.29,Debit Card,Tier2
51,60044.22,37,9,7,45.07,90.83,80,6678,1.11,UPI,Tier2
42,12674.5,8,5,22,33.22,28.17,74,2007,6.67,Credit Card,Tier1
24,69238.33,5,12,28,28.37,34.58,55,787,7.48,Credit Card,Tier3
69,73038.67,44,7,13,43.75,34.85,21,2045,6.43,Credit Card,Tier2
21,64138.43,92,7,25,20.5,30.0,66,9892,9.88,UPI,Tier3
25,50600.26,67,7,50,34.37,13.66,47,7465,2.05,Debit Card,Tier3
37,19910.68,72,4,39,31.68,61.67,36,4128,3.66,Cash,Tier1
46,,79,7,32,40.36,46.4,33,237,4.79,Cash,Tier3
68,97019.56,91,8,63,66.9,35.1,73,3619,4.51,Debit Card,Tier2
62,,49,5,64,31.47,79.37,17,6798,7.68,Credit Card,Tier3
63,74681.32,36,7,64,31.82,89.23,97,8055,2.16,Cash,Tier2
27,30500.83,80,6,67,40.64,29.3,12,9510,1.64,Credit Card,Tier3
60,75058.69,26,7,68,24.68,21.66,13,1136,1.28,Cash,Tier2
51,56345.59,45,5,49,38.61,34.79,46,1972,7.2,Debit Card,Tier1
43,48226.81,61,8,45,14.73,64.03,109,4320,8.12,Cash,Tier2
58,48272.0,44,10,21,41.04,12.85,65,3213,5.3,Credit Card,Tier2
66,56340.55,4,5,8,45.26,23.36,40,6056,4.42,Credit Card,Tier1
20,73413.53,76,5,23,54.54,9.43,108,8848,2.6,Cash,Tier1
23,36132.41,81,9,72,56.75,86.23,86,6338,5.29,Debit Card,Tier2
22,56263.46,58,7,34,30.06,78.62,74,3183,1.96,UPI,Tier1
22,64087.62,26,9,24,22.74,33.93,48,7484,2.02,Credit Card,Tier1
64,40821.14,95,10,51,42.85,84.05,57,3628,4.99,Debit Card,Tier1
40,104526.63,79,8,49,58.01,,38,2096,1.18,Credit Card,Tier2
66,46223.1,98,16,24,45.95,50.39,49,2280,7.44,Debit Card,Tier1
26,50272.39,29,13,15,,47.87,40,6089,9.33,Debit Card,Tier2
52,43477.23,9,5,68,37.4,24.42,108,9659,3.95,Credit Card,Tier3
37,104566.56,78,14,24,41.25,47.68,115,1159,6.8,Cash,Tier2
66,77163.92,36,13,35,64.86,33.08,52,424,9.22,UPI,Tier2
59,44394.98,4,6,25,77.57,48.97,117,2862,3.05,Cash,Tier2
52,89337.09,59,9,51,45.97,12.46,32,2261,5.89,Debit Card,Tier3
67,69415.37,37,7,56,44.99,44.56,13,111,6.24,Debit Card,Tier2
35,70659.58,88,6,79,48.63,,65,5887,8.45,Debit Card,Tier2
34,57421.5,81,8,75,56.89,91.28,110,5352,6.49,Credit Card,Tier3
41,48512.85,13,7,48,32.43,68.31,88,8447,8.06,Credit Card,Tier2
20,72430.85,20,10,12,38.35,86.06,36,7309,3.49,Debit Card,Tier2
49,53008.08,17,7,14,41.39,7.9,86,731,7.28,UPI,Tier3
52,104968.62,51,5,59,48.63,61.98,118,2705,5.54,UPI,Tier1
55,37075.6,91,8,6,46.84,8.19,42,8340,6.02,Credit Card,Tier1
30,98795.45,55,6,42,41.19,37.03,12,736,7.28,Credit Card,Tier2
64,62550.99,33,8,47,51.48,88.43,82,6579,8.34,UPI,Tier1
42,71579.89,21,6,44,40.99,55.18,85,3271,3.07,UPI,Tier3
26,83329.47,81,15,31,,54.58,94,5686,3.26,Debit Card,Tier2
21,51134.52,22,12,48,59.17,26.92,68,3441,9.99,Cash,Tier3
31,84013.46,25,12,11,36.8,31.29,67,479,1.52,Cash,Tier3
54,10000.0,67,6,32,50.14,89.25,2,7860,1.99,Debit Card,Tier2
51,49160.23,91,7,79,45.08,29.18,68,7557,5.61,UPI,Tier1
28,44670.62,91,8,34,81.96,19.91,68,7628,5.92,Debit Card,Tier3
58,37422.87,12,6,17,51.66,27.38,8,9927,7.44,Debit Card,Tier1
20,60270.99,15,9,54,40.83,34.5,74,8614,9.23,Cash,Tier3
45,73486.5,84,14,33,47.39,70.98,55,7710,9.25,UPI,Tier1
46,80458.52,86,13,18,47.81,90.27,93,4708,6.74,Debit Card,Tier3
26,70299.29,2,7,68,57.73,34.31,33,6694,7.8,UPI,Tier2
20,50354.74,4,7,68,86.5,5.71,94,1157,6.89,Credit Card,Tier2
42,73118.36,45,5,59,29.75,48.67,22,1375,2.48,Debit Card,Tier2
51,67734.29,13,10,57,48.61,97.25,56,8132,9.5,UPI,Tier3
29,85593.24,55,11,51,34.99,2.58,58,7114,8.6,Cash,Tier2
59,82092.61,32,7,7,52.96,49.52,28,3539,1.88,UPI,Tier1
26,65670.48,22,8,69,51.56,84.99,116,9413,9.87,UPI,Tier2
32,45260.43,89,10,20,56.79,89.17,29,4545,8.59,Credit Card,Tier1
57,50635.1,91,14,14,54.33,63.67,48,480,9.05,Cash,Tier1
42,52904.63,55,11,79,45.82,1.61,64,8929,5.7,Cash,Tier1
22,58064.14,17,5,61,27.77,29.81,37,6665,9.15,Debit Card,Tier1
28,70897.11,70,11,78,55.59,25.82,108,6349,4.01,Cash,Tier1
51,80733.84,51,12,63,33.52,65.23,13,9838,2.41,Debit Card,Tier3
41,63875.39,80,7,68,36.79,96.54,70,5801,1.38,UPI,Tier3
32,65354.75,8,7,48,39.88,62.2,93,437,3.36,Credit Card,Tier2
55,68152.74,61,8,37,,17.23,79,7952,8.84,Credit Card,Tier3
25,53650.08,97,6,14,44.15,47.48,67,3064,6.8,Debit Card,Tier1
22,44641.37,10,2,56,53.98,8.49,3,7390,4.14,Cash,Tier1
65,26380.37,98,5,14,42.37,19.18,74,8575,3.04,UPI,Tier3
43,49706.71,19,4,21,61.41,38.06,64,2418,3.3,Debit Card,Tier1
35,75409.2,14,7,57,55.65,53.37,59,4968,7.08,Cash,Tier3
23,49535.95,67,5,26,49.58,11.22,47,8157,2.46,UPI,Tier3
54,59768.25,55,6,76,42.43,17.62,96,9524,2.21,Debit Card,Tier3
65,75261.49,61,5,15,31.71,51.94,115,5203,6.71,Cash,Tier2
30,76455.17,56,5,71,62.12,83.42,2,9263,8.92,Debit Card,Tier2
45,41250.28,63,8,17,42.64,78.33,61,2023,8.0,Debit Card,Tier2
22,86935.31,87,6,62,69.24,38.51,55,2451,1.77,UPI,Tier1
30,89801.7,11,10,49,82.29,9.27,17,7245,8.04,Debit Card,Tier2
34,40143.3,47,5,49,50.48,79.71,86,6748,9.13,UPI,Tier2
67,46875.59,6,9,47,18.7,47.57,118,8204,7.26,Debit Card,Tier3
57,91204.0,34,9,68,57.88,28.69,58,2628,7.91,UPI,Tier1
62,61769.22,65,13,43,61.26,52.24,43,3606,8.91,Debit Card,Tier3
49,16164.89,99,9,12,64.7,57.99,64,7593,5.76,Debit Card,Tier2
46,34207.01,89,8,78,38.81,,107,2274,5.88,Debit Card,Tier2
68,59513.87,64,6,44,58.5,61.99,46,1546,6.45,Credit Card,Tier1
20,39413.06,93,9,55,37.92,1.29,106,8353,2.86,UPI,Tier3
57,55904.68,87,9,24,43.92,30.46,102,8488,4.88,Cash,Tier3
51,65712.72,82,6,70,47.89,95.01,86,1022,5.77,Credit Card,Tier1
57,97169.6,78,8,62,53.28,81.33,69,4671,1.39,Credit Card,Tier1
44,58610.01,81,6,69,49.92,1.18,61,9747,5.31,UPI,Tier1
30,88595.92,66,9,49,,57.74,40,7865,6.71,Cash,Tier2
62,96432.72,31,8,78,47.46,79.91,91,8413,7.75,Credit Card,Tier1
50,96554.81,83,13,78,60.2,28.15,5,7583,1.42,UPI,Tier3
23,71264.6,96,12,38,49.43,,97,8770,5.93,Debit Card,Tier2
41,21807.64,62,4,16,49.82,76.96,33,6151,7.85,Cash,Tier2
36,75138.15,54,6,27,57.57,24.23,62,9345,2.67,Credit Card,Tier3
33,88064.8,92,14,72,55.04,77.55,26,2449,4.07,Debit Card,Tier2
57,63216.52,8,10,57,23.43,72.43,86,4009,1.72,Cash,Tier1
45,103380.85,42,4,57,44.68,18.15,81,5674,4.58,Credit Card,Tier2
50,83916.34,41,9,44,47.76,38.13,27,2765,3.37,Debit Card,Tier3
65,77502.01,59,9,57,78.22,77.94,63,283,4.2,Debit Card,Tier1
58,88900.38,40,7,40,17.21,63.52,2,1305,2.62,Debit Card,Tier1
30,72334.14,22,8,69,57.0,51.12,46,7127,3.48,Cash,Tier3
60,10158.17,24,3,18,56.96,38.97,20,6658,4.55,Debit Card,Tier3
62,54018.94,38,6,38,64.93,33.35,37,8242,1.13,Credit Card,Tier1
42,91337.7,2,7,30,48.37,46.06,39,1399,3.89,UPI,Tier1
59,47232.99,41,10,59,52.32,41.64,44,1879,2.39,Credit Card,Tier1
53,60083.6,19,7,67,38.96,22.12,111,1024,9.41,Cash,Tier3
44,42013.6,2,8,74,,80.21,15,4479,4.32,Cash,Tier1
55,,92,8,50,32.81,97.65,31,7759,4.55,UPI,Tier3
24,101992.83,96,7,41,54.88,49.56,119,9589,8.99,Debit Card,Tier2
22,45554.88,62,4,27,48.41,97.67,50,411,8.32,Cash,Tier1
60,68240.56,83,6,20,46.36,36.54,92,8003,1.64,UPI,Tier3
62,50029.13,16,10,36,45.18,34.07,105,6547,1.53,Debit Card,Tier1
68,78528.78,94,7,11,9.13,90.24,7,5110,8.62,UPI,Tier1
48,76213.03,22,6,48,61.49,96.31,39,7223,2.04,Debit Card,Tier3
40,82857.52,14,2,51,38.92,27.2,109,1168,5.13,Credit Card,Tier1
59,72302.21,56,12,9,48.94,92.72,110,3707,2.32,Cash,Tier2
27,129578.94,65,10,67,51.39,13.08,1,2899,4.94,Credit Card,Tier2
49,42385.68,45,8,16,20.68,67.17,7,9220,2.86,Credit Card,Tier1
60,27366.73,54,7,76,40.81,,71,9908,6.73,Cash,Tier1
47,,66,7,13,6.64,40.85,9,678,1.76,Debit Card,Tier3
56,30504.26,86,11,48,39.83,15.17,59,9461,7.05,Cash,Tier3
48,32165.83,46,7,26,51.01,89.69,75,923,5.75,Credit Card,Tier3
35,42971.08,33,6,50,43.76,77.33,108,2098,6.46,Debit Card,Tier3
53,44711.84,79,7,12,30.05,6.19,117,3825,4.16,Cash,Tier1
19,43998.4,50,7,60,36.65,43.22,23,2324,9.4,Credit Card,Tier3
31,305603.28,22,65,32,70.27,72.5,52,8897,1.91,Debit Card,Tier1
30,53863.84,40,12,77,31.43,48.4,38,956,9.06,UPI,Tier1
46,61050.68,39,9,51,54.96,91.66,18,4459,5.94,UPI,Tier2
29,84673.12,41,13,39,60.3,3.82,113,2493,8.62,UPI,Tier1
56,48140.9,75,8,25,25.21,71.47,16,8301,8.24,Credit Card,Tier3
19,59179.99,68,10,37,62.48,93.57,46,5009,3.21,Cash,Tier2
49,73046.72,7,6,74,57.16,24.75,5,7134,2.94,Cash,Tier1
30,22285.51,85,6,52,30.49,74.63,46,7409,5.46,UPI,Tier1
63,12532.08,71,15,78,48.39,36.74,89,1447,7.4,UPI,Tier3
44,72614.58,4,8,58,14.47,33.58,116,4563,4.06,Credit Card,Tier1
66,75824.31,76,10,6,29.56,52.24,69,7391,9.03,Cash,Tier2
58,110412.84,91,12,37,47.03,62.77,94,3187,4.06,Credit Card,Tier2
34,68478.09,59,10,20,,68.3,114,1359,1.37,Debit Card,Tier3
57,83034.27,81,7,54,19.18,48.07,43,9546,7.64,Debit Card,Tier1
48,60699.6,84,10,24,78.35,92.7,56,7661,2.47,Cash,Tier1
51,71539.0,95,8,71,50.52,22.08,89,7335,9.26,Cash,Tier1
41,101679.65,26,3,49,27.7,84.53,115,5691,6.91,Debit Card,Tier1
62,18272.16,31,11,39,46.19,83.85,68,610,3.71,UPI,Tier3
52,74099.56,99,12,33,29.2,12.89,83,862,4.88,Cash,Tier2
65,111982.91,73,7,49,56.31,36.83,96,5052,4.75,Debit Card,Tier3
23,71204.75,69,11,19,18.51,55.76,76,7680,5.93,Debit Card,Tier2
36,101312.61,52,6,7,50.27,73.67,71,9497,3.01,Cash,Tier1
47,51157.33,72,6,73,47.13,89.76,100,6332,1.98,UPI,Tier1
24,64294.96,21,5,38,21.15,96.95,70,9545,6.46,Credit Card,Tier3
27,65737.54,16,9,75,61.44,28.37,44,4793,6.25,Debit Card,Tier2
58,16213.0,51,8,8,52.3,69.43,17,7030,4.33,UPI,Tier3
49,,16,5,79,58.66,76.84,14,3535,8.89,UPI,Tier3
51,163475.0,18,20,23,35.65,,66,4089,7.88,Cash,Tier3
45,83085.45,47,6,25,43.26,24.12,76,1031,2.92,Debit Card,Tier1
32,84187.37,56,11,19,53.51,74.37,119,1342,5.9,Cash,Tier3
47,72128.8,28,12,21,,40.54,75,7714,2.0,Cash,Tier1
54,83130.26,82,9,58,81.43,19.01,112,9235,3.58,Debit Card,Tier1
46,61388.71,78,10,41,25.0,1.9,97,8064,9.23,Debit Card,Tier2
39,91442.5,56,9,58,42.73,37.86,60,1635,9.03,Debit Card,Tier3
21,65193.35,37,4,26,68.08,19.72,66,4019,3.49,UPI,Tier3
37,66273.01,16,4,12,40.64,64.89,88,6499,3.56,Cash,Tier1
49,59156.96,85,13,15,77.39,76.52,80,8990,9.59,Debit Card,Tier2
53,80057.91,65,10,77,47.97,19.53,119,7556,5.7,Cash,Tier1
67,55733.63,60,8,74,80.22,96.5,3,4194,9.48,Cash,Tier1
21,86481.49,61,11,13,56.35,19.22,40,8120,4.48,Credit Card,Tier1
44,40092.72,11,8,6,24.34,30.93,40,4688,6.8,Credit Card,Tier3
34,40823.84,75,10,36,18.77,39.63,109,5209,8.21,UPI,Tier2
29,80123.39,66,9,55,,71.75,73,928,3.41,Credit Card,Tier3
39,63052.03,32,8,41,39.68,84.13,5,9819,7.24,Debit Card,Tier3
34,55014.39,19,6,10,58.2,56.93,43,4414,1.28,UPI,Tier3
27,84581.27,56,4,16,40.53,8.25,1,2709,1.64,Credit Card,Tier1
18,,5,10,58,43.16,90.47,16,7392,3.33,Cash,Tier2
39,60595.57,3,6,50,41.03,26.9,25,9545,4.71,Credit Card,Tier2
43,95783.01,28,10,37,29.03,65.17,89,6502,4.37,Cash,Tier3
35,98861.13,90,9,22,34.17,82.63,83,3961,5.32,Debit Card,Tier3
67,99592.76,87,10,42,46.74,86.36,61,875,8.15,Debit Card,Tier1
31,58793.23,94,8,63,67.04,18.39,110,9051,7.92,UPI,Tier3
64,92075.46,72,7,11,73.26,0.32,82,967,5.94,Cash,Tier1
46,44123.04,29,10,19,47.23,94.45,91,6437,2.26,Debit Card,Tier1
29,45048.14,77,5,5,38.64,34.68,117,7247,6.82,Credit Card,Tier1
53,13289.97,59,10,50,,,9,3511,8.96,Debit Card,Tier2
52,,25,1,36,59.36,80.34,102,1226,5.24,Cash,Tier2
69,45992.44,22,6,53,39.55,30.32,85,6833,2.55,Credit Card,Tier1
29,62216.28,97,14,14,42.91,,69,1704,3.47,Debit Card,Tier3
24,44972.86,71,3,21,72.15,7.12,112,2089,6.65,Debit Card,Tier1
46,80293.64,23,4,24,55.58,37.73,30,3908,6.85,Cash,Tier2
28,56736.06,70,11,55,23.51,23.1,8,1557,2.09,Debit Card,Tier2
50,36294.03,79,7,26,37.36,14.77,28,2591,7.38,Credit Card,Tier1
23,74716.58,79,8,24,46.04,34.89,81,8832,9.72,Debit Card,Tier1
64,33457.94,40,4,69,43.27,39.03,101,7230,3.26,Debit Card,Tier2
32,46577.07,98,8,8,30.48,84.88,52,6044,1.11,Cash,Tier2
49,18648.44,14,6,58,73.12,,21,7914,5.38,Debit Card,Tier2
68,33672.92,29,14,69,47.73,75.1,18,9217,9.78,Cash,Tier3
28,68927.64,16,8,55,26.51,64.9,117,9051,1.4,Credit Card,Tier1
40,21780.21,93,6,15,34.49,67.89,10,9249,5.8,Cash,Tier1
43,32414.79,87,4,31,34.97,24.24,70,3400,3.99,Credit Card,Tier1
51,64947.88,10,4,30,21.2,72.98,108,4737,5.24,Cash,Tier3
63,53040.65,47,10,21,42.12,,101,4507,8.93,Cash,Tier1
51,108824.81,4,8,46,36.74,77.23,87,434,5.09,Cash,Tier1
46,105345.72,12,6,52,45.7,37.57,82,8101,7.58,Credit Card,Tier1
21,45905.71,42,8,37,57.49,32.96,109,5408,8.1,Credit Card,Tier3
34,77257.03,98,5,65,,15.67,58,6104,6.99,Cash,Tier2
52,81484.22,4,4,33,50.96,,14,3679,2.3,Cash,Tier2
30,51855.47,84,20,67,28.63,32.51,96,5823,9.62,Cash,Tier3
58,32098.09,92,9,41,25.65,71.68,53,8076,2.65,UPI,Tier2
56,64729.43,92,12,60,59.21,82.19,84,2810,6.42,Credit Card,Tier2
32,61197.4,6,10,20,32.54,78.89,54,2743,2.22,Cash,Tier1
46,55413.18,14,8,60,53.88,61.42,101,3301,1.19,Credit Card,Tier2
46,74730.97,35,11,46,57.22,14.36,57,505,1.36,Credit Card,Tier1
28,48483.95,47,8,28,41.88,44.96,5,9639,4.48,Credit Card,Tier3
69,39656.05,58,11,73,53.01,83.0,89,4321,4.91,Cash,Tier3
49,67399.83,65,7,35,51.23,64.03,35,3818,6.21,Debit Card,Tier1
19,73491.34,19,8,15,48.59,63.62,63,3845,4.11,UPI,Tier3
64,39113.81,57,7,6,44.09,74.35,86,2841,4.71,Debit Card,Tier1
31,85417.99,65,11,75,48.14,12.89,8,9576,9.11,Credit Card,Tier3
37,26049.41,13,12,39,38.24,,35,2837,4.11,Debit Card,Tier2
39,52281.5,8,6,66,23.65,27.0,75,4772,3.83,UPI,Tier3
28,59323.81,18,9,58,46.5,59.18,65,7457,7.48,UPI,Tier3
44,51003.08,35,8,73,49.92,59.96,96,6429,9.8,UPI,Tier3
20,52568.67,87,8,55,65.1,18.11,26,7761,1.22,UPI,Tier2
34,106163.64,26,11,13,37.79,67.22,32,9607,1.62,Credit Card,Tier1
61,46280.55,38,11,18,36.52,70.95,96,5315,7.9,UPI,Tier1
45,118706.88,84,9,60,21.45,41.57,34,463,1.53,Credit Card,Tier2
46,74616.79,66,9,38,26.29,57.72,101,4213,7.73,Cash,Tier3
38,,26,11,5,19.76,36.78,13,8275,4.39,UPI,Tier3
64,75477.29,57,7,42,22.62,85.28,79,4248,5.59,UPI,Tier3
33,120658.41,25,5,21,35.77,64.7,38,2454,1.25,UPI,Tier2
54,43140.95,30,9,20,,54.33,67,6480,3.72,Cash,Tier1
37,40350.81,82,9,52,49.97,94.33,80,3594,8.53,Cash,Tier2
23,48392.94,7,8,54,67.78,76.39,100,6360,9.58,UPI,Tier2
36,65707.15,27,8,75,52.14,30.41,66,1820,5.95,Cash,Tier2
22,27033.04,11,7,45,16.09,14.9,79,1512,9.86,Cash,Tier1
20,,8,14,48,47.37,3.32,43,3821,1.88,UPI,Tier1
18,102258.04,11,11,19,69.7,55.88,68,6284,8.83,UPI,Tier2
55,,88,8,65,26.77,23.64,13,6312,7.79,Credit Card,Tier3
32,58560.92,30,6,54,50.34,85.58,39,7614,2.03,Debit Card,Tier3
51,51400.47,94,13,56,39.21,0.59,16,3090,7.28,Debit Card,Tier1
52,84767.26,15,7,56,42.3,15.9,42,2029,6.83,Debit Card,Tier1
66,46831.68,56,10,40,60.19,36.96,113,8808,9.52,Debit Card,Tier3
42,105620.71,35,7,37,45.78,68.63,73,7833,3.05,Cash,Tier2
41,107533.91,39,5,49,45.57,54.55,99,7933,3.97,Cash,Tier2
29,70648.52,24,6,77,40.73,33.22,118,6868,2.72,Cash,Tier3
35,64746.67,8,7,6,65.78,23.81,48,2625,9.38,Cash,Tier3
32,87674.52,43,12,5,40.19,22.96,26,7411,8.74,Debit Card,Tier3
61,89085.57,42,9,74,45.23,82.61,91,6776,3.5,Cash,Tier1
33,47268.18,84,9,51,38.15,30.62,103,6904,8.74,Debit Card,Tier3
44,53415.79,41,9,68,30.64,90.58,80,2146,9.65,Debit Card,Tier2
25,35908.36,47,8,22,58.65,2.59,54,3847,2.15,Credit Card,Tier2
63,73999.43,26,8,58,59.79,,74,3952,9.57,UPI,Tier3
42,79665.81,52,7,39,47.41,99.69,21,6963,8.98,Cash,Tier1
34,35301.64,88,8,63,,61.57,58,4532,9.12,Cash,Tier2
46,,22,8,40,60.81,95.94,91,461,1.52,Credit Card,Tier3
25,35360.41,5,8,30,39.44,18.14,16,6826,9.45,Debit Card,Tier2
32,45226.4,15,7,49,41.24,87.86,95,1971,9.95,UPI,Tier1
44,77122.38,36,6,73,31.5,66.24,89,7433,7.41,Credit Card,Tier3
63,48863.39,63,3,34,55.49,20.66,51,1742,8.53,Credit Card,Tier3
67,58381.83,93,7,37,40.75,77.75,13,6897,5.38,UPI,Tier2
69,29199.14,79,6,27,45.81,39.39,106,6835,1.87,Debit Card,Tier2
24,69113.78,91,9,25,51.98,51.48,55,9710,5.26,Cash,Tier2
20,64025.99,49,7,67,52.67,91.38,36,1713,9.1,Debit Card,Tier3
46,48962.9,55,12,74,28.02,37.05,94,3105,5.01,UPI,Tier3
61,60841.69,72,5,72,54.22,53.39,6,7332,4.05,Debit Card,Tier1
41,68966.49,60,7,40,75.27,28.47,39,1674,6.71,UPI,Tier1
20,47072.9,57,5,41,45.07,45.76,97,1473,9.72,Debit Card,Tier1
37,32522.22,29,11,5,64.84,22.95,6,1403,6.11,Credit Card,Tier2
63,104722.64,19,10,30,20.33,66.03,5,3250,5.79,Credit Card,Tier3
32,51068.0,95,7,46,46.49,46.72,42,7436,5.22,UPI,Tier1
42,62871.28,73,8,44,14.84,75.41,93,578,4.73,Credit Card,Tier1
47,87238.47,10,9,57,59.71,86.84,82,2903,4.77,Credit Card,Tier1
31,142639.21,10,6,66,29.72,61.78,110,5261,9.74,Debit Card,Tier2
24,37621.3,97,9,48,39.07,14.28,14,458,3.52,Credit Card,Tier1
34,74896.2,89,4,77,30.62,40.33,74,7592,5.3,Credit Card,Tier2
61,49433.85,57,13,40,60.52,22.78,42,9415,2.08,Credit Card,Tier2
37,53146.61,54,7,8,61.43,90.59,80,6567,5.25,Credit Card,Tier2
53,49155.34,56,5,25,31.8,,111,417,4.03,Credit Card,Tier1
26,40235.59,68,4,21,,35.54,43,5563,5.36,Cash,Tier1
55,64091.59,69,8,20,29.67,,72,9283,4.9,Cash,Tier1
65,32560.94,87,9,45,44.41,46.68,8,4029,9.01,UPI,Tier1
39,343319.08,55,45,59,24.95,32.08,55,1592,6.47,Credit Card,Tier3
19,66210.06,69,6,61,33.39,98.63,83,255,4.67,Debit Card,Tier1
